CLASS,AGE,SEX,SURVIVED
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Sobrevive
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
